date,close,high,low,open
09.11.2016__00:00__AM,110.88,111.32,108.05,109.88
10.11.2016__00:00__AM,107.79,111.09,105.83,111.09
11.11.2016__00:00__AM,108.43,108.87,106.55,107.12
14.11.2016__00:00__AM,105.71,107.809,104.08,107.71
15.11.2016__00:00__AM,107.11,107.68,106.1593,106.57
16.11.2016__00:00__AM,109.99,110.23,106.6,106.7
17.11.2016__00:00__AM,109.95,110.35,108.83,109.81
18.11.2016__00:00__AM,110.06,110.54,109.66,109.72
21.11.2016__00:00__AM,111.73,111.99,110.01,110.12
22.11.2016__00:00__AM,111.8,112.42,111.4,111.95
23.11.2016__00:00__AM,111.23,111.51,110.33,111.36
25.11.2016__00:00__AM,111.79,111.87,110.95,111.13
28.11.2016__00:00__AM,111.57,112.465,111.39,111.43
29.11.2016__00:00__AM,111.46,112.03,110.07,110.78
30.11.2016__00:00__AM,110.52,112.2,110.27,111.6
01.12.2016__00:00__AM,109.49,110.94,109.03,110.365
02.12.2016__00:00__AM,109.9,110.09,108.85,109.17
05.12.2016__00:00__AM,109.11,110.03,108.25,110.0
06.12.2016__00:00__AM,109.95,110.36,109.19,109.5
07.12.2016__00:00__AM,111.03,111.19,109.16,109.26
08.12.2016__00:00__AM,112.12,112.43,110.6,110.86
09.12.2016__00:00__AM,113.95,114.7,112.31,112.31
12.12.2016__00:00__AM,113.3,115.0,112.49,113.29
13.12.2016__00:00__AM,115.19,115.92,113.75,113.84
14.12.2016__00:00__AM,115.19,116.2,114.98,115.04
15.12.2016__00:00__AM,115.82,116.73,115.23,115.38
16.12.2016__00:00__AM,115.97,116.5,115.645,116.47
19.12.2016__00:00__AM,116.64,117.38,115.75,115.8
20.12.2016__00:00__AM,116.95,117.5,116.68,116.74
21.12.2016__00:00__AM,117.06,117.4,116.78,116.8
22.12.2016__00:00__AM,116.29,116.51,115.64,116.35
23.12.2016__00:00__AM,116.52,116.52,115.59,115.59
27.12.2016__00:00__AM,117.26,117.8,116.49,116.52
28.12.2016__00:00__AM,116.76,118.0166,116.2,117.52
